LotArea,MSZoning,TotRmsAbvGrd,YearBuilt,LandContour,BsmtFinSF1,GarageCars,1stFlrSF,TotalBsmtSF,2ndFlrSF,GrLivArea,OverallQual,Saleprice
8450,RL,8,2003,Lvl,706,2,856,856,854,1710,7,208500
9600,RL,6,1976,Lvl,978,2,1262,1262,0,1262,6,181500
11250,RL,6,2001,Lvl,486,2,920,920,866,1786,7,223500
9550,RL,7,1915,Lvl,216,3,961,756,756,1717,7,140000
14260,RL,9,2000,Lvl,655,3,1145,1145,1053,2198,8,250000
14115,RL,5,1993,Lvl,732,2,796,796,566,1362,5,143000
10084,RL,7,2004,Lvl,1369,2,1694,1686,0,1694,8,307000
10382,RL,7,1973,Lvl,859,2,1107,1107,983,2090,7,200000
6120,RM,8,1931,Lvl,0,2,1022,952,752,1774,7,129900
7420,RL,5,1939,Lvl,851,1,1077,991,0,1077,5,118000
11200,RL,5,1965,Lvl,906,1,1040,1040,0,1040,5,129500
11924,RL,11,2005,Lvl,998,3,1182,1175,1142,2324,9,345000
12968,RL,4,1962,Lvl,737,1,912,912,0,912,5,144000
10652,RL,7,2006,Lvl,0,3,1494,1494,0,1494,7,279500
10920,RL,5,1960,Lvl,733,1,1253,1253,0,1253,6,157000
6120,RM,5,1929,Lvl,0,2,854,832,0,854,7,132000
11241,RL,5,1970,Lvl,578,2,1004,1004,0,1004,6,149000
10791,RL,6,1967,Lvl,0,2,1296,0,0,1296,4,90000
13695,RL,6,2004,Lvl,646,2,1114,1114,0,1114,5,159000
7560,RL,6,1958,Lvl,504,1,1339,1029,0,1339,5,139000
14215,RL,9,2005,Lvl,0,3,1158,1158,1218,2376,8,325300
7449,RM,6,1930,Bnk,0,1,1108,637,0,1108,7,139400
9742,RL,7,2002,Lvl,0,2,1795,1777,0,1795,8,230000
4224,RM,6,1976,Lvl,840,2,1060,1040,0,1060,5,129900
8246,RL,6,1968,Lvl,188,1,1060,1060,0,1060,5,154000
14230,RL,7,2007,Lvl,0,3,1600,1566,0,1600,8,256300
7200,RL,5,1951,Lvl,234,2,900,900,0,900,5,134800
11478,RL,7,2007,Lvl,1218,3,1704,1704,0,1704,8,306000
16321,RL,6,1957,Lvl,1277,1,1600,1484,0,1600,5,207500
6324,RM,4,1927,Lvl,0,1,520,520,0,520,4,68500
8500,C (all),6,1920,Lvl,0,1,649,649,668,1317,4,40000
8544,RL,6,1966,Lvl,0,1,1228,1228,0,1228,5,149350
11049,RL,7,2007,Lvl,0,2,1234,1234,0,1234,8,179900
10552,RL,6,1959,Lvl,1018,2,1700,1398,0,1700,5,165500
7313,RL,6,2005,Lvl,1153,2,1561,1561,0,1561,9,277500
13418,RL,9,2004,Lvl,0,3,1132,1117,1320,2452,8,309000
10859,RL,6,1994,Lvl,0,2,1097,1097,0,1097,5,145000
8532,RL,5,1954,Lvl,1213,2,1297,1297,0,1297,5,153000
7922,RL,5,1953,Lvl,731,1,1057,1057,0,1057,5,109000
6040,RL,6,1955,Lvl,0,0,1152,0,0,1152,4,82000
8658,RL,6,1965,Lvl,643,2,1324,1088,0,1324,6,160000
16905,RL,5,1959,Lvl,967,1,1328,1350,0,1328,5,170000
9180,RL,5,1983,Lvl,747,2,884,840,0,884,5,144000
9200,RL,5,1975,Lvl,280,1,938,938,0,938,5,130250
7945,RL,6,1959,Lvl,179,1,1150,1150,0,1150,5,141000
7658,RL,6,2005,Lvl,456,2,1752,1752,0,1752,9,319900
