YearRemodAdd,OverallCond,BsmtQual,LotArea,MSZoning,TotRmsAbvGrd,YearBuilt,LandContour,BsmtFinSF1,GarageCars,1stFlrSF,TotalBsmtSF,2ndFlrSF,GrLivArea,OverallQual,Saleprice
2003,5,Gd,8450,RL,8,2003,Lvl,706,2,856,856,854,1710,7,208500
1976,8,Gd,9600,RL,6,1976,Lvl,978,2,1262,1262,0,1262,6,181500
2002,5,Gd,11250,RL,6,2001,Lvl,486,2,920,920,866,1786,7,223500
1970,5,TA,9550,RL,7,1915,Lvl,216,3,961,756,756,1717,7,140000
2000,5,Gd,14260,RL,9,2000,Lvl,655,3,1145,1145,1053,2198,8,250000
1995,5,Gd,14115,RL,5,1993,Lvl,732,2,796,796,566,1362,5,143000
2005,5,Ex,10084,RL,7,2004,Lvl,1369,2,1694,1686,0,1694,8,307000
1973,6,Gd,10382,RL,7,1973,Lvl,859,2,1107,1107,983,2090,7,200000
1950,5,TA,6120,RM,8,1931,Lvl,0,2,1022,952,752,1774,7,129900
1950,6,TA,7420,RL,5,1939,Lvl,851,1,1077,991,0,1077,5,118000
1965,5,TA,11200,RL,5,1965,Lvl,906,1,1040,1040,0,1040,5,129500
2006,5,Ex,11924,RL,11,2005,Lvl,998,3,1182,1175,1142,2324,9,345000
1962,6,TA,12968,RL,4,1962,Lvl,737,1,912,912,0,912,5,144000
2007,5,Gd,10652,RL,7,2006,Lvl,0,3,1494,1494,0,1494,7,279500
1960,5,TA,10920,RL,5,1960,Lvl,733,1,1253,1253,0,1253,6,157000
2001,8,TA,6120,RM,5,1929,Lvl,0,2,854,832,0,854,7,132000
1970,7,TA,11241,RL,5,1970,Lvl,578,2,1004,1004,0,1004,6,149000
1967,5,,10791,RL,6,1967,Lvl,0,2,1296,0,0,1296,4,90000
2004,5,TA,13695,RL,6,2004,Lvl,646,2,1114,1114,0,1114,5,159000
1965,6,TA,7560,RL,6,1958,Lvl,504,1,1339,1029,0,1339,5,139000
2006,5,Ex,14215,RL,9,2005,Lvl,0,3,1158,1158,1218,2376,8,325300
1950,7,TA,7449,RM,6,1930,Bnk,0,1,1108,637,0,1108,7,139400
2002,5,Gd,9742,RL,7,2002,Lvl,0,2,1795,1777,0,1795,8,230000
1976,7,Gd,4224,RM,6,1976,Lvl,840,2,1060,1040,0,1060,5,129900
2001,8,TA,8246,RL,6,1968,Lvl,188,1,1060,1060,0,1060,5,154000
2007,5,Gd,14230,RL,7,2007,Lvl,0,3,1600,1566,0,1600,8,256300
2000,7,TA,7200,RL,5,1951,Lvl,234,2,900,900,0,900,5,134800
2008,5,Ex,11478,RL,7,2007,Lvl,1218,3,1704,1704,0,1704,8,306000
1997,6,TA,16321,RL,6,1957,Lvl,1277,1,1600,1484,0,1600,5,207500
1950,6,TA,6324,RM,4,1927,Lvl,0,1,520,520,0,520,4,68500
1950,4,TA,8500,C (all),6,1920,Lvl,0,1,649,649,668,1317,4,40000
2006,6,TA,8544,RL,6,1966,Lvl,0,1,1228,1228,0,1228,5,149350
2007,5,Ex,11049,RL,7,2007,Lvl,0,2,1234,1234,0,1234,8,179900
1959,5,TA,10552,RL,6,1959,Lvl,1018,2,1700,1398,0,1700,5,165500
2005,5,Ex,7313,RL,6,2005,Lvl,1153,2,1561,1561,0,1561,9,277500
2005,5,Ex,13418,RL,9,2004,Lvl,0,3,1132,1117,1320,2452,8,309000
1995,5,Gd,10859,RL,6,1994,Lvl,0,2,1097,1097,0,1097,5,145000
1990,6,TA,8532,RL,5,1954,Lvl,1213,2,1297,1297,0,1297,5,153000
2007,7,TA,7922,RL,5,1953,Lvl,731,1,1057,1057,0,1057,5,109000
1955,5,,6040,RL,6,1955,Lvl,0,0,1152,0,0,1152,4,82000
1965,5,TA,8658,RL,6,1965,Lvl,643,2,1324,1088,0,1324,6,160000
1959,6,TA,16905,RL,5,1959,Lvl,967,1,1328,1350,0,1328,5,170000
1983,7,Gd,9180,RL,5,1983,Lvl,747,2,884,840,0,884,5,144000
1980,6,Gd,9200,RL,5,1975,Lvl,280,1,938,938,0,938,5,130250
1959,6,TA,7945,RL,6,1959,Lvl,179,1,1150,1150,0,1150,5,141000
2005,5,Ex,7658,RL,6,2005,Lvl,456,2,1752,1752,0,1752,9,319900
2003,5,Ex,12822,RL,6,2003,Lvl,1351,2,1518,1434,631,2149,7,239686
2006,5,Gd,11096,FV,7,2006,Lvl,24,3,1656,1656,0,1656,8,249700
2008,5,TA,4456,RM,8,1920,Lvl,0,0,736,736,716,1452,4,113000
1966,7,TA,7742,RL,6,1966,Lvl,763,1,955,955,0,955,5,127000
1997,6,Gd,13869,RL,6,1997,Lvl,182,2,794,794,676,1470,6,177000
1950,6,TA,6240,RM,6,1934,Lvl,0,2,816,816,0,1176,6,114500
1963,5,Gd,8472,RM,5,1963,Bnk,104,2,816,816,0,816,5,110000
1987,5,Ex,50271,RL,5,1981,Low,1810,3,1842,1842,0,1842,9,385000
1955,5,TA,7134,RL,6,1955,Bnk,384,2,1360,384,0,1360,5,130000
1964,5,TA,10175,RL,7,1964,Lvl,490,2,1425,1425,0,1425,6,180500
2000,5,Gd,2645,FV,7,1999,Lvl,649,2,983,970,756,1739,8,172500
2004,5,Gd,11645,RL,7,2004,Lvl,0,2,860,860,860,1720,7,196500
2006,5,Ex,13682,RL,10,2006,HLS,0,3,1426,1410,1519,2945,10,438780
1972,7,TA,7200,RL,4,1972,Bnk,632,1,780,780,0,780,5,124900
2004,5,Gd,13072,RL,5,2004,Lvl,941,2,1158,1158,0,1158,6,158000
1996,7,TA,7200,RM,6,1920,Lvl,0,1,581,530,530,1111,5,101000
2006,5,Gd,6442,RL,6,2006,Lvl,24,2,1370,1370,0,1370,8,202500
1950,6,TA,10300,RM,9,1921,Bnk,0,2,902,576,808,1710,7,140000
1998,5,Gd,9375,RL,8,1997,Lvl,739,2,1057,1057,977,2034,7,219500
2005,5,Ex,9591,RL,9,2004,Lvl,0,3,1143,1143,1330,2473,8,317000
1989,5,Gd,19900,RL,7,1970,Lvl,912,2,2207,1947,0,2207,7,180000
2003,5,Gd,10665,RL,7,2003,Lvl,1013,2,1479,1453,0,1479,7,226000
1950,6,TA,4608,RM,4,1945,Lvl,0,1,747,747,0,747,4,80000
1953,4,TA,15593,RL,7,1953,Lvl,603,2,1304,1304,983,2287,7,225000
1973,6,Gd,13651,RL,8,1973,Lvl,1880,2,2223,2223,0,2223,7,244000
2006,6,TA,7599,RL,4,1982,Lvl,565,2,845,845,0,845,4,129500
1998,5,Gd,10141,RL,7,1998,Lvl,0,2,885,832,833,1718,7,185000
2003,7,TA,10200,RL,6,1954,Lvl,320,2,1086,1086,0,1086,5,144900
1950,6,Fa,5790,RM,8,1915,Lvl,0,1,840,840,765,1605,3,107400
1973,5,Gd,1596,RM,5,1973,Lvl,462,1,526,462,462,988,4,91000
1956,7,TA,8475,RL,4,1956,Lvl,228,1,952,952,0,952,4,135750
2001,5,TA,8635,RM,6,1948,Lvl,336,1,1072,672,213,1285,5,127000
1968,5,TA,10778,RL,8,1968,Lvl,0,0,1768,1768,0,1768,4,136500
1981,6,TA,10440,RM,5,1910,Lvl,0,2,682,440,548,1230,5,110000
1968,6,Gd,13000,RL,8,1968,Lvl,448,1,1182,896,960,2142,6,193500
1998,5,Ex,4500,RM,5,1998,Lvl,1201,2,1337,1237,0,1337,6,153500
2007,5,Gd,10206,RL,6,2007,Lvl,33,3,1563,1563,0,1563,8,245000
1960,5,TA,8892,RL,6,1960,Lvl,0,2,1065,1065,0,1065,5,126500
1996,5,Gd,8530,RL,7,1995,Lvl,0,2,804,384,670,1474,7,168500
1992,5,Gd,16059,RL,9,1991,Lvl,0,2,1301,1288,1116,2417,8,260000
2005,5,Gd,11911,RL,6,2005,Lvl,0,2,684,684,876,1560,6,174000
2009,5,Gd,3951,FV,4,2009,Lvl,0,2,612,612,612,1224,6,164500
1982,2,TA,8470,C (all),6,1915,Lvl,0,0,1013,1013,0,1526,3,85000
1995,5,Gd,8070,RL,5,1994,Lvl,588,0,990,990,0,990,4,123600
1950,5,,7200,RL,4,1950,Lvl,0,2,1040,0,0,1040,4,109900
1961,3,TA,8500,RL,6,1961,Lvl,600,2,1235,1235,0,1235,5,98600
2006,7,Gd,13360,RL,5,1921,HLS,713,2,964,876,0,964,5,163500
1998,6,TA,7200,C (all),9,1910,Lvl,1046,2,1260,1214,1031,2291,6,133900
1997,5,Gd,9337,RL,7,1997,Lvl,648,2,905,824,881,1786,6,204750
1993,8,Gd,9765,RL,6,1993,Lvl,310,2,680,680,790,1470,6,185000
1999,5,Gd,10264,RL,6,1999,Lvl,1162,2,1588,1588,0,1588,7,214000
1965,5,TA,10921,RL,6,1965,HLS,520,1,960,960,0,960,4,94750
1950,5,TA,10625,RL,5,1920,Lvl,108,1,835,458,0,835,5,83000
1959,5,TA,9320,RL,6,1959,Lvl,569,0,1225,950,0,1225,4,128950
2001,7,TA,10603,RL,6,1977,Lvl,1200,2,1610,1610,0,1610,6,205000
1985,5,Gd,9206,RL,7,1985,Lvl,0,2,977,741,755,1732,6,178000
1979,5,,7018,RL,8,1979,Bnk,0,2,1535,0,0,1535,5,118964
2009,5,Gd,10402,RL,6,2009,Lvl,0,3,1226,1226,0,1226,7,198900
1950,4,TA,7758,RM,7,1931,Lvl,224,1,1226,1040,592,1818,7,169500
2004,5,Ex,9375,FV,9,2003,Lvl,0,2,1053,1053,939,1992,8,250000
1995,7,Fa,10800,RM,6,1885,Lvl,0,1,1047,641,0,1047,4,100000
1950,5,TA,6000,RM,5,1948,Lvl,104,1,789,789,0,789,5,115000
2005,7,TA,8500,RM,7,1919,Lvl,0,0,997,793,520,1517,5,115000
1977,6,Gd,11751,RL,7,1977,Lvl,705,2,1844,1844,0,1844,6,190000
1972,4,TA,9525,RL,7,1954,Lvl,444,1,1216,994,639,1855,6,136900
2000,5,Gd,7750,RL,7,2000,Lvl,250,2,774,384,656,1430,7,180000
2007,5,Ex,9965,RL,10,2007,Lvl,984,3,1282,1264,1414,2696,7,383970
1953,5,Gd,21000,RL,7,1953,Bnk,35,2,2259,1809,0,2259,6,217000
2002,8,TA,7259,RL,9,1945,Lvl,774,1,1436,1028,884,2320,6,259500
1999,5,Gd,3230,FV,5,1999,Lvl,419,2,729,729,729,1458,6,176000
1962,5,TA,11616,RL,6,1962,Lvl,170,1,1092,1092,0,1092,5,139000
2007,5,Gd,8536,RL,5,2006,Lvl,0,2,1125,1125,0,1125,5,155000
1990,5,Gd,12376,RL,11,1990,Lvl,1470,3,1699,1673,1523,3222,7,320000
2006,5,Gd,8461,RL,8,2005,Lvl,0,2,728,728,728,1456,6,163990
1969,5,TA,21453,RL,4,1969,Low,938,2,988,938,0,988,6,180000
1950,5,TA,6060,RM,4,1939,Lvl,0,1,772,732,351,1123,4,100000
1958,7,TA,9464,RL,5,1958,Lvl,570,1,1080,1080,0,1080,6,136000
1993,5,Gd,7892,RL,5,1993,Lvl,300,2,1199,1199,0,1199,6,153900
1998,5,Gd,17043,RL,7,1979,Lvl,0,2,1586,1362,0,1586,6,181000
1982,8,TA,6780,RM,5,1935,Lvl,490,0,520,520,0,754,6,84500
1976,5,Gd,4928,RL,5,1976,Lvl,120,2,958,1078,0,958,6,128000
1950,7,TA,4388,RM,5,1930,Bnk,116,0,840,672,0,840,5,87000
1966,5,TA,7590,RL,6,1966,Lvl,512,2,660,660,688,1348,6,155000
1991,7,TA,8973,RL,6,1958,Lvl,567,2,1053,1008,0,1053,5,150000
1966,6,TA,14200,RL,8,1966,Lvl,445,2,1216,924,941,2157,7,226000
2000,5,Gd,12224,RL,7,2000,Lvl,695,2,1022,992,1032,2054,6,244000
2002,6,TA,7388,RL,7,1959,Lvl,405,2,1327,1063,0,1327,5,150750
2002,5,Ex,6853,RL,6,2001,Lvl,1005,2,1296,1267,0,1296,8,220000
1993,6,TA,10335,RL,7,1968,Lvl,570,2,1721,1461,0,1721,5,180000
1970,6,TA,10400,RL,7,1970,Lvl,0,2,1682,1304,0,1682,7,174000
1967,5,TA,10355,RL,5,1967,Lvl,695,1,1214,1214,0,1214,5,143000
1989,5,TA,11070,RL,9,1988,Lvl,0,3,1959,1907,0,1959,7,171000
2000,5,Gd,9066,RL,7,1999,Lvl,668,3,1004,1004,848,1852,8,230000
1997,5,Gd,15426,RL,7,1997,Lvl,821,2,928,928,836,1764,6,231500
1971,5,TA,10500,RL,5,1971,Lvl,432,0,864,864,0,864,4,115000
2005,5,Gd,11645,RL,7,2005,Lvl,1300,2,1734,1734,0,1734,7,260000
1952,4,TA,8520,RL,6,1952,Lvl,507,2,910,910,475,1385,5,166000
1999,5,Gd,10335,RL,6,1999,Lvl,679,2,1501,1490,0,1501,7,204000
1963,5,TA,9100,RM,10,1963,Lvl,1332,2,1728,1728,0,1728,5,125000
2006,5,Gd,2522,RM,7,2004,Lvl,0,2,970,970,739,1709,6,130000
1993,7,TA,6120,RM,5,1931,Lvl,209,1,875,715,0,875,5,105000
2001,5,Gd,9505,RL,8,2001,Lvl,0,2,884,884,1151,2035,7,222500
2005,5,Gd,7500,RL,6,2004,Lvl,680,0,1080,1080,0,1080,7,141000
1950,4,Gd,6240,RM,7,1936,Lvl,0,1,896,896,448,1344,5,115000
1975,6,TA,10356,RL,5,1975,Lvl,716,2,969,969,0,969,5,122000
2008,5,Ex,13891,RL,6,2007,Lvl,1400,3,1710,1710,0,1710,8,372402
1971,5,TA,14803,RL,8,1971,Lvl,416,2,1097,825,896,1993,6,190000
1975,7,Gd,13500,RL,4,1960,Lvl,429,2,1252,1602,0,1252,6,235000
1950,5,TA,11340,RM,7,1923,Lvl,0,1,1200,1200,0,1200,6,125000
1950,5,TA,9600,RL,5,1924,Lvl,0,0,572,572,524,1096,6,79000
1950,7,,7200,RL,5,1950,Lvl,0,2,1040,0,0,1040,5,109500
2010,5,Ex,12003,RL,8,2009,Lvl,0,3,774,774,1194,1968,8,269500
2005,5,Gd,12552,FV,8,2004,Lvl,222,2,991,991,956,1947,7,254900
2006,5,Gd,19378,RL,9,2005,HLS,57,2,1392,1392,1070,2462,7,320000
1984,6,Gd,11120,RL,6,1984,Lvl,660,2,1232,1232,0,1232,6,162500
