1stFlrSF,TotalBsmtSF,2ndFlrSF,GrLivArea,OverallQual,Saleprice
856,856,854,1710,7,208500
1262,1262,0,1262,6,181500
920,920,866,1786,7,223500
961,756,756,1717,7,140000
1145,1145,1053,2198,8,250000
796,796,566,1362,5,143000
1694,1686,0,1694,8,307000
1107,1107,983,2090,7,200000
1022,952,752,1774,7,129900
1077,991,0,1077,5,118000
1040,1040,0,1040,5,129500
1182,1175,1142,2324,9,345000
912,912,0,912,5,144000
1494,1494,0,1494,7,279500
1253,1253,0,1253,6,157000
854,832,0,854,7,132000
1004,1004,0,1004,6,149000
1296,0,0,1296,4,90000
1114,1114,0,1114,5,159000
1339,1029,0,1339,5,139000
1158,1158,1218,2376,8,325300
1108,637,0,1108,7,139400
1795,1777,0,1795,8,230000
1060,1040,0,1060,5,129900
1060,1060,0,1060,5,154000
1600,1566,0,1600,8,256300
900,900,0,900,5,134800
1704,1704,0,1704,8,306000
1600,1484,0,1600,5,207500
520,520,0,520,4,68500
649,649,668,1317,4,40000
1228,1228,0,1228,5,149350
1234,1234,0,1234,8,179900
1700,1398,0,1700,5,165500
1561,1561,0,1561,9,277500
1132,1117,1320,2452,8,309000
1097,1097,0,1097,5,145000
1297,1297,0,1297,5,153000
1057,1057,0,1057,5,109000
1152,0,0,1152,4,82000
1324,1088,0,1324,6,160000
1328,1350,0,1328,5,170000
884,840,0,884,5,144000
938,938,0,938,5,130250
1150,1150,0,1150,5,141000
1752,1752,0,1752,9,319900
1518,1434,631,2149,7,239686
1656,1656,0,1656,8,249700
736,736,716,1452,4,113000
955,955,0,955,5,127000
794,794,676,1470,6,177000
816,816,0,1176,6,114500
816,816,0,816,5,110000
1842,1842,0,1842,9,385000
1360,384,0,1360,5,130000
1425,1425,0,1425,6,180500
983,970,756,1739,8,172500
860,860,860,1720,7,196500
1426,1410,1519,2945,10,438780
780,780,0,780,5,124900
1158,1158,0,1158,6,158000
581,530,530,1111,5,101000
1370,1370,0,1370,8,202500
902,576,808,1710,7,140000
1057,1057,977,2034,7,219500
1143,1143,1330,2473,8,317000
2207,1947,0,2207,7,180000
1479,1453,0,1479,7,226000
747,747,0,747,4,80000
1304,1304,983,2287,7,225000
2223,2223,0,2223,7,244000
845,845,0,845,4,129500
885,832,833,1718,7,185000
1086,1086,0,1086,5,144900
840,840,765,1605,3,107400
526,462,462,988,4,91000
952,952,0,952,4,135750
1072,672,213,1285,5,127000
1768,1768,0,1768,4,136500
682,440,548,1230,5,110000
1182,896,960,2142,6,193500
1337,1237,0,1337,6,153500
1563,1563,0,1563,8,245000
1065,1065,0,1065,5,126500
804,384,670,1474,7,168500
1301,1288,1116,2417,8,260000
684,684,876,1560,6,174000
612,612,612,1224,6,164500
1013,1013,0,1526,3,85000
990,990,0,990,4,123600
1040,0,0,1040,4,109900
1235,1235,0,1235,5,98600
964,876,0,964,5,163500
1260,1214,1031,2291,6,133900
905,824,881,1786,6,204750
680,680,790,1470,6,185000
1588,1588,0,1588,7,214000
960,960,0,960,4,94750
835,458,0,835,5,83000
1225,950,0,1225,4,128950
1610,1610,0,1610,6,205000
977,741,755,1732,6,178000
1535,0,0,1535,5,118964
1226,1226,0,1226,7,198900
1226,1040,592,1818,7,169500
1053,1053,939,1992,8,250000
1047,641,0,1047,4,100000
789,789,0,789,5,115000
997,793,520,1517,5,115000
1844,1844,0,1844,6,190000
1216,994,639,1855,6,136900
774,384,656,1430,7,180000
1282,1264,1414,2696,7,383970
2259,1809,0,2259,6,217000
1436,1028,884,2320,6,259500
729,729,729,1458,6,176000
1092,1092,0,1092,5,139000
1125,1125,0,1125,5,155000
1699,1673,1523,3222,7,320000
728,728,728,1456,6,163990
988,938,0,988,6,180000
772,732,351,1123,4,100000
1080,1080,0,1080,6,136000
1199,1199,0,1199,6,153900
1586,1362,0,1586,6,181000
520,520,0,754,6,84500
958,1078,0,958,6,128000
840,672,0,840,5,87000
660,660,688,1348,6,155000
1053,1008,0,1053,5,150000
1216,924,941,2157,7,226000
1022,992,1032,2054,6,244000
1327,1063,0,1327,5,150750
1296,1267,0,1296,8,220000
1721,1461,0,1721,5,180000
1682,1304,0,1682,7,174000
1214,1214,0,1214,5,143000
1959,1907,0,1959,7,171000
1004,1004,848,1852,8,230000
928,928,836,1764,6,231500
864,864,0,864,4,115000
1734,1734,0,1734,7,260000
910,910,475,1385,5,166000
1501,1490,0,1501,7,204000
1728,1728,0,1728,5,125000
970,970,739,1709,6,130000
875,715,0,875,5,105000
884,884,1151,2035,7,222500
1080,1080,0,1080,7,141000
896,896,448,1344,5,115000
969,969,0,969,5,122000
1710,1710,0,1710,8,372402
1097,825,896,1993,6,190000
1252,1602,0,1252,6,235000
1200,1200,0,1200,6,125000
572,572,524,1096,6,79000
1040,0,0,1040,5,109500
774,774,1194,1968,8,269500
991,991,956,1947,7,254900
1392,1392,1070,2462,7,320000
1232,1232,0,1232,6,162500
1572,1572,1096,2668,9,412500
1541,1541,0,1541,7,220000
882,882,0,882,4,103200
1149,1149,467,1616,6,152000
808,644,547,1355,5,127500
1867,1617,0,1867,5,190000
1610,1582,551,2161,8,325624
840,840,880,1720,7,183500
1707,1686,0,1707,8,228000
854,720,0,1382,5,128500
1656,1080,0,1656,6,215000
1064,1064,703,1767,7,239000
1362,1362,0,1362,6,163000
1651,1606,0,1651,6,184000
2158,1202,0,2158,6,243000
1164,1151,896,2060,6,211000
1252,1052,668,1920,5,172500
2234,2216,0,2234,9,501837
968,968,0,968,5,100000
769,756,756,1525,6,177000
901,793,901,1802,7,200100
1340,0,0,1340,5,120000
1362,1362,720,2082,7,200000
936,504,316,1252,5,127000
1518,1107,1518,3608,10,475000
1217,1188,0,1217,7,173000
808,660,704,1656,5,135000
1224,1086,0,1224,5,153337
1593,1593,0,1593,8,286000
1549,853,1178,2727,8,315000
725,725,754,1479,7,184000
