BsmtFinSF1,GarageCars,1stFlrSF,TotalBsmtSF,2ndFlrSF,GrLivArea,OverallQual,Saleprice
706,2,856,856,854,1710,7,208500
978,2,1262,1262,0,1262,6,181500
486,2,920,920,866,1786,7,223500
216,3,961,756,756,1717,7,140000
655,3,1145,1145,1053,2198,8,250000
732,2,796,796,566,1362,5,143000
1369,2,1694,1686,0,1694,8,307000
859,2,1107,1107,983,2090,7,200000
0,2,1022,952,752,1774,7,129900
851,1,1077,991,0,1077,5,118000
906,1,1040,1040,0,1040,5,129500
998,3,1182,1175,1142,2324,9,345000
737,1,912,912,0,912,5,144000
0,3,1494,1494,0,1494,7,279500
733,1,1253,1253,0,1253,6,157000
0,2,854,832,0,854,7,132000
578,2,1004,1004,0,1004,6,149000
0,2,1296,0,0,1296,4,90000
646,2,1114,1114,0,1114,5,159000
504,1,1339,1029,0,1339,5,139000
0,3,1158,1158,1218,2376,8,325300
0,1,1108,637,0,1108,7,139400
0,2,1795,1777,0,1795,8,230000
840,2,1060,1040,0,1060,5,129900
188,1,1060,1060,0,1060,5,154000
0,3,1600,1566,0,1600,8,256300
234,2,900,900,0,900,5,134800
1218,3,1704,1704,0,1704,8,306000
1277,1,1600,1484,0,1600,5,207500
0,1,520,520,0,520,4,68500
0,1,649,649,668,1317,4,40000
0,1,1228,1228,0,1228,5,149350
0,2,1234,1234,0,1234,8,179900
1018,2,1700,1398,0,1700,5,165500
1153,2,1561,1561,0,1561,9,277500
0,3,1132,1117,1320,2452,8,309000
0,2,1097,1097,0,1097,5,145000
1213,2,1297,1297,0,1297,5,153000
731,1,1057,1057,0,1057,5,109000
0,0,1152,0,0,1152,4,82000
643,2,1324,1088,0,1324,6,160000
967,1,1328,1350,0,1328,5,170000
747,2,884,840,0,884,5,144000
280,1,938,938,0,938,5,130250
179,1,1150,1150,0,1150,5,141000
456,2,1752,1752,0,1752,9,319900
1351,2,1518,1434,631,2149,7,239686
24,3,1656,1656,0,1656,8,249700
0,0,736,736,716,1452,4,113000
763,1,955,955,0,955,5,127000
182,2,794,794,676,1470,6,177000
0,2,816,816,0,1176,6,114500
104,2,816,816,0,816,5,110000
1810,3,1842,1842,0,1842,9,385000
384,2,1360,384,0,1360,5,130000
490,2,1425,1425,0,1425,6,180500
649,2,983,970,756,1739,8,172500
0,2,860,860,860,1720,7,196500
0,3,1426,1410,1519,2945,10,438780
632,1,780,780,0,780,5,124900
941,2,1158,1158,0,1158,6,158000
0,1,581,530,530,1111,5,101000
24,2,1370,1370,0,1370,8,202500
0,2,902,576,808,1710,7,140000
739,2,1057,1057,977,2034,7,219500
0,3,1143,1143,1330,2473,8,317000
912,2,2207,1947,0,2207,7,180000
1013,2,1479,1453,0,1479,7,226000
0,1,747,747,0,747,4,80000
603,2,1304,1304,983,2287,7,225000
1880,2,2223,2223,0,2223,7,244000
565,2,845,845,0,845,4,129500
0,2,885,832,833,1718,7,185000
320,2,1086,1086,0,1086,5,144900
0,1,840,840,765,1605,3,107400
462,1,526,462,462,988,4,91000
228,1,952,952,0,952,4,135750
336,1,1072,672,213,1285,5,127000
0,0,1768,1768,0,1768,4,136500
0,2,682,440,548,1230,5,110000
448,1,1182,896,960,2142,6,193500
1201,2,1337,1237,0,1337,6,153500
33,3,1563,1563,0,1563,8,245000
0,2,1065,1065,0,1065,5,126500
0,2,804,384,670,1474,7,168500
0,2,1301,1288,1116,2417,8,260000
0,2,684,684,876,1560,6,174000
0,2,612,612,612,1224,6,164500
0,0,1013,1013,0,1526,3,85000
588,0,990,990,0,990,4,123600
0,2,1040,0,0,1040,4,109900
600,2,1235,1235,0,1235,5,98600
713,2,964,876,0,964,5,163500
1046,2,1260,1214,1031,2291,6,133900
648,2,905,824,881,1786,6,204750
310,2,680,680,790,1470,6,185000
1162,2,1588,1588,0,1588,7,214000
520,1,960,960,0,960,4,94750
108,1,835,458,0,835,5,83000
569,0,1225,950,0,1225,4,128950
1200,2,1610,1610,0,1610,6,205000
0,2,977,741,755,1732,6,178000
0,2,1535,0,0,1535,5,118964
0,3,1226,1226,0,1226,7,198900
224,1,1226,1040,592,1818,7,169500
0,2,1053,1053,939,1992,8,250000
0,1,1047,641,0,1047,4,100000
104,1,789,789,0,789,5,115000
0,0,997,793,520,1517,5,115000
705,2,1844,1844,0,1844,6,190000
444,1,1216,994,639,1855,6,136900
250,2,774,384,656,1430,7,180000
984,3,1282,1264,1414,2696,7,383970
35,2,2259,1809,0,2259,6,217000
774,1,1436,1028,884,2320,6,259500
419,2,729,729,729,1458,6,176000
170,1,1092,1092,0,1092,5,139000
0,2,1125,1125,0,1125,5,155000
1470,3,1699,1673,1523,3222,7,320000
0,2,728,728,728,1456,6,163990
938,2,988,938,0,988,6,180000
0,1,772,732,351,1123,4,100000
570,1,1080,1080,0,1080,6,136000
300,2,1199,1199,0,1199,6,153900
0,2,1586,1362,0,1586,6,181000
490,0,520,520,0,754,6,84500
120,2,958,1078,0,958,6,128000
116,0,840,672,0,840,5,87000
512,2,660,660,688,1348,6,155000
567,2,1053,1008,0,1053,5,150000
445,2,1216,924,941,2157,7,226000
695,2,1022,992,1032,2054,6,244000
405,2,1327,1063,0,1327,5,150750
1005,2,1296,1267,0,1296,8,220000
570,2,1721,1461,0,1721,5,180000
0,2,1682,1304,0,1682,7,174000
695,1,1214,1214,0,1214,5,143000
0,3,1959,1907,0,1959,7,171000
668,3,1004,1004,848,1852,8,230000
821,2,928,928,836,1764,6,231500
432,0,864,864,0,864,4,115000
1300,2,1734,1734,0,1734,7,260000
507,2,910,910,475,1385,5,166000
679,2,1501,1490,0,1501,7,204000
1332,2,1728,1728,0,1728,5,125000
0,2,970,970,739,1709,6,130000
209,1,875,715,0,875,5,105000
0,2,884,884,1151,2035,7,222500
680,0,1080,1080,0,1080,7,141000
0,1,896,896,448,1344,5,115000
716,2,969,969,0,969,5,122000
1400,3,1710,1710,0,1710,8,372402
416,2,1097,825,896,1993,6,190000
429,2,1252,1602,0,1252,6,235000
0,1,1200,1200,0,1200,6,125000
0,0,572,572,524,1096,6,79000
0,2,1040,0,0,1040,5,109500
0,3,774,774,1194,1968,8,269500
222,2,991,991,956,1947,7,254900
57,2,1392,1392,1070,2462,7,320000
660,2,1232,1232,0,1232,6,162500
1016,3,1572,1572,1096,2668,9,412500
1201,2,1541,1541,0,1541,7,220000
0,0,882,882,0,882,4,103200
370,1,1149,1149,467,1616,6,152000
351,0,808,644,547,1355,5,127500
379,1,1867,1617,0,1867,5,190000
1288,3,1610,1582,551,2161,8,325624
0,2,840,840,880,1720,7,183500
0,2,1707,1686,0,1707,8,228000
360,2,854,720,0,1382,5,128500
639,2,1656,1080,0,1656,6,215000
495,2,1064,1064,703,1767,7,239000
288,2,1362,1362,0,1362,6,163000
1398,2,1651,1606,0,1651,6,184000
477,2,2158,1202,0,2158,6,243000
831,2,1164,1151,896,2060,6,211000
57,2,1252,1052,668,1920,5,172500
1904,3,2234,2216,0,2234,9,501837
0,2,968,968,0,968,5,100000
436,2,769,756,756,1525,6,177000
352,1,901,793,901,1802,7,200100
0,1,1340,0,0,1340,5,120000
0,2,1362,1362,720,2082,7,200000
0,2,936,504,316,1252,5,127000
0,3,1518,1107,1518,3608,10,475000
611,2,1217,1188,0,1217,7,173000
0,1,808,660,704,1656,5,135000
1086,2,1224,1086,0,1224,5,153337
1153,2,1593,1593,0,1593,8,286000
297,2,1549,853,1178,2727,8,315000
626,2,725,725,754,1479,7,184000
560,2,1431,1431,0,1431,7,192000
0,2,970,970,739,1709,7,130000
390,1,864,864,0,864,5,127000
566,2,855,855,601,1456,6,148500
1126,3,1726,1726,0,1726,7,311872
1036,2,1360,1360,1360,3112,8,235000
0,0,929,755,929,2229,6,104000
1088,3,1713,1713,0,1713,8,274900
0,2,1121,1121,0,1121,4,140000
641,2,1279,1196,0,1279,6,171500
617,1,865,617,445,1310,6,112000
662,2,848,848,0,848,6,149000
312,1,720,720,564,1284,5,110000
0,2,1442,1424,0,1442,7,180500
0,1,1696,1140,0,1696,5,143900
419,1,1100,1100,0,1100,4,141000
1065,2,1180,1157,882,2062,7,277000
787,2,1092,1092,0,1092,6,145000
468,0,864,864,0,864,5,98000
36,2,1212,1212,0,1212,6,186000
822,2,932,900,920,1852,7,252678
716,2,990,990,0,990,5,156000
378,1,689,689,703,1392,6,161750
360,1,1236,1070,0,1236,5,134450
946,2,1436,1436,0,1436,7,210000
0,1,810,686,518,1328,4,107000
341,2,1137,798,817,1954,7,311500
16,2,1248,1248,0,1248,7,167240
0,2,1498,1498,0,1498,7,204900
0,2,1010,1010,1257,2267,6,200000
550,2,811,713,741,1552,6,179900
524,2,864,864,0,864,4,97000
56,3,2392,2392,0,2392,10,386250
0,1,630,630,672,1302,5,112000
565,3,1214,1203,1306,2520,7,290000
321,1,483,483,504,987,6,106000
842,1,912,912,0,912,5,125000
16,2,1555,1373,0,1555,7,192500
0,1,1194,1194,0,1194,6,148000
689,3,1490,1462,1304,2794,8,403000
0,1,483,483,504,987,6,94500
182,1,894,894,0,894,5,128200
625,2,860,860,1100,1960,6,216500
358,1,483,483,504,987,6,89500
24,2,1414,1414,0,1414,7,185500
402,2,1014,996,730,1744,7,194500
0,3,1694,1694,0,1694,8,318000
94,1,798,735,689,1487,6,113000
1078,2,1566,1566,0,1566,8,262500
329,0,866,686,0,866,5,110500
0,1,889,540,551,1440,5,79000
0,1,626,626,591,1217,6,120000
